timestamp_cet,air_temperature,barometric_pressure_qfe,dew_point,humidity,water_temperature,wind_direction,wind_force_avg_10min,wind_gust_max_10min,wind_speed_avg_10min,windchill
2019-12-31 18:20:00+00:00,2.0,984.7,1.5,97.0,7.0,24.0,1.0,2.8,1.0,1.9
2019-12-31 18:30:00+00:00,1.8,984.8,1.3,96.0,6.9,124.0,1.0,1.3,0.6,1.8
2019-12-31 18:40:00+00:00,1.5,985.0,0.9,96.0,7.0,120.0,1.0,1.4,0.7,1.5
2019-12-31 18:50:00+00:00,1.4,985.0,0.9,96.0,7.0,128.0,0.0,0.9,0.0,1.4
2019-12-31 19:00:00+00:00,1.3,985.0,0.9,97.0,7.0,164.0,0.0,1.2,0.0,1.3
2019-12-31 19:10:00+00:00,1.3,985.0,0.9,97.0,7.0,124.0,0.0,0.1,0.0,1.3
2019-12-31 19:20:00+00:00,1.4,985.0,1.0,98.0,6.9,0.0,0.0,0.0,0.0,1.4
2019-12-31 19:30:00+00:00,1.4,985.0,1.0,98.0,7.0,118.0,0.0,0.2,0.0,1.4
2019-12-31 19:40:00+00:00,1.3,984.9,1.0,98.0,7.0,118.0,0.0,0.5,0.0,1.3
2019-12-31 19:50:00+00:00,1.3,984.9,0.9,97.0,7.0,107.0,1.0,1.1,0.3,1.3
2019-12-31 20:00:00+00:00,1.3,985.0,0.9,97.0,7.0,41.0,0.0,0.1,0.0,1.3
2019-12-31 20:10:00+00:00,1.3,985.1,0.9,97.0,7.0,61.0,1.0,1.4,0.5,1.3
2019-12-31 20:20:00+00:00,1.3,985.1,0.8,96.0,7.0,64.0,1.0,1.6,0.4,1.3
2019-12-31 20:30:00+00:00,1.3,984.9,0.8,96.0,7.0,97.0,1.0,1.4,0.3,1.3
2019-12-31 20:40:00+00:00,1.2,985.0,0.7,96.0,7.0,87.0,1.0,2.1,1.0,1.2
2019-12-31 20:50:00+00:00,0.9,985.0,0.4,96.0,7.0,63.0,2.0,2.6,1.6,0.7
2019-12-31 21:00:00+00:00,0.8,985.0,0.2,96.0,7.0,62.0,1.0,2.6,1.2,0.7
2019-12-31 21:10:00+00:00,0.7,985.2,0.1,96.0,7.0,50.0,2.0,3.0,1.6,0.2
2019-12-31 21:20:00+00:00,0.6,985.1,0.1,96.0,7.0,44.0,1.0,2.8,1.3,0.5
2019-12-31 21:30:00+00:00,0.6,985.1,0.0,96.0,7.0,45.0,1.0,2.8,1.3,0.5
2019-12-31 21:40:00+00:00,0.5,985.2,0.0,96.0,7.0,55.0,1.0,2.9,1.0,0.4
2019-12-31 21:50:00+00:00,0.5,985.3,-0.2,95.0,7.0,68.0,1.0,2.3,1.0,0.5
2019-12-31 22:00:00+00:00,0.4,985.2,-0.3,95.0,6.9,64.0,1.0,2.5,1.3,0.3
2019-12-31 22:10:00+00:00,0.3,985.2,-0.3,96.0,7.0,41.0,1.0,2.0,0.9,0.3
2019-12-31 22:20:00+00:00,0.3,985.3,-0.3,95.0,7.0,19.0,1.0,1.7,0.6,0.3
2019-12-31 22:30:00+00:00,0.3,985.3,-0.4,95.0,6.9,26.0,1.0,1.4,0.5,0.3
2019-12-31 22:40:00+00:00,0.2,985.1,-0.4,95.0,6.9,24.0,1.0,1.3,0.3,0.2
2019-12-31 22:50:00+00:00,0.2,985.1,-0.4,96.0,6.9,10.0,1.0,1.1,0.3,0.2
2019-12-31 23:00:00+00:00,0.2,985.0,-0.4,96.0,6.9,6.0,0.0,1.0,0.0,0.2
2019-12-31 23:10:00+00:00,0.1,985.0,-0.4,96.0,6.9,24.0,0.0,0.5,0.0,0.1
2019-12-31 23:20:00+00:00,0.1,984.8,-0.5,96.0,6.9,340.0,0.0,0.8,0.1,0.1
2019-12-31 23:30:00+00:00,0.1,984.7,-0.5,96.0,6.9,326.0,1.0,1.4,0.5,0.1
2019-12-31 23:40:00+00:00,0.1,984.7,-0.5,96.0,6.9,317.0,1.0,1.7,0.7,0.1
2019-12-31 23:50:00+00:00,0.0,984.6,-0.5,96.0,6.9,321.0,1.0,1.6,0.6,0.0
2020-01-01 00:00:00+00:00,0.0,984.7,-0.5,96.0,6.9,324.0,1.0,1.5,0.6,0.0
2020-01-01 00:10:00+00:00,0.0,984.5,-0.5,96.0,6.9,310.0,0.0,1.4,0.2,0.0
2020-01-01 00:20:00+00:00,-0.1,984.3,-0.6,97.0,6.9,51.0,0.0,0.2,0.0,-0.1
2020-01-01 00:30:00+00:00,-0.1,984.2,-0.5,97.0,6.9,314.0,1.0,1.8,0.6,-0.1
2020-01-01 00:40:00+00:00,-0.1,984.3,-0.5,97.0,6.9,317.0,1.0,2.2,1.0,-0.1
2020-01-01 00:50:00+00:00,-0.1,984.2,-0.5,97.0,6.9,317.0,1.0,2.1,0.8,-0.1
2020-01-01 01:00:00+00:00,-0.1,984.1,-0.5,97.0,6.9,311.0,1.0,1.7,0.8,-0.1
2020-01-01 01:10:00+00:00,-0.1,984.0,-0.5,97.0,6.9,352.0,1.0,1.9,0.7,-0.1
2020-01-01 01:20:00+00:00,-0.2,983.9,-0.6,97.0,6.9,349.0,1.0,1.1,0.3,-0.2
2020-01-01 01:30:00+00:00,-0.2,984.0,-0.7,97.0,6.9,327.0,1.0,1.3,0.5,-0.2
2020-01-01 01:40:00+00:00,-0.3,983.9,-0.8,96.0,6.9,343.0,1.0,1.1,0.4,-0.3
2020-01-01 01:50:00+00:00,-0.3,984.0,-0.8,96.0,6.9,353.0,1.0,2.0,0.6,-0.3
2020-01-01 02:00:00+00:00,-0.3,984.0,-0.8,96.0,6.9,4.0,1.0,2.2,0.8,-0.3
